CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME,NODE_TYPE,ORIGINAL_CUST_NO
1,25,25,0,0,1440,0,depot,1
2,38,28,5,175,743,34,normal,2
3,14,42,15,332,842,91,normal,3
4,7,20,17,295,873,103,normal,4
5,38,18,28,170,257,12,urgent,5
6,22,10,31,650,735,13,urgent,6
7,10,23,9,598,1198,57,normal,7
8,35,39,26,31,623,154,normal,8
9,23,2,24,342,822,143,normal,9
10,21,1,10,493,984,62,normal,10
11,23,43,11,191,707,68,normal,11
12,29,37,8,1037,1123,7,urgent,12
13,1,20,11,273,761,68,normal,13
14,32,11,40,235,813,235,normal,14
15,21,43,46,435,917,269,normal,15
16,24,48,29,92,595,172,normal,16
17,26,41,35,448,1047,206,normal,17
18,27,15,34,123,640,200,normal,18
19,14,46,8,293,856,51,normal,19
20,50,43,31,162,740,183,normal,20
21,2,36,20,141,709,120,normal,21
22,50,6,40,389,893,235,normal,22
23,20,8,45,193,738,263,normal,23
24,38,17,30,983,1058,13,urgent,24
25,3,24,5,198,718,34,normal,25
26,13,49,13,442,989,80,normal,26
27,8,25,26,533,1033,154,normal,27
28,1,19,35,176,663,206,normal,28
29,27,46,45,436,982,263,normal,29
30,6,43,7,731,1243,45,normal,30
31,7,46,18,1000,1071,10,urgent,31
32,34,13,26,496,1090,154,normal,32
33,16,35,15,46,644,91,normal,33
34,49,39,8,715,1304,51,normal,34
35,3,1,17,282,799,103,normal,35
36,5,41,32,605,1193,189,normal,36
37,3,28,29,64,145,13,urgent,37
38,17,25,17,293,870,103,normal,38
39,43,33,18,642,1151,108,normal,39
40,9,35,30,513,1020,177,normal,40
41,13,30,36,539,1087,212,normal,41
42,47,14,49,232,746,286,normal,42
43,7,13,13,548,1076,80,normal,43
44,22,39,15,197,693,91,normal,44
45,20,15,22,178,265,11,urgent,45
46,44,17,11,80,652,68,normal,46
47,46,23,6,553,633,7,urgent,47
48,25,24,22,42,620,131,normal,48
49,44,40,15,537,620,9,urgent,49
50,28,14,15,202,275,9,urgent,50
51,44,0,13,150,724,80,normal,51
