CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME,NODE_TYPE,ORIGINAL_CUST_NO
1,50,50,0,0,1440,0,depot,1
2,51,92,32,529,1107,189,normal,2
3,14,71,17,71,553,103,normal,3
4,60,20,30,554,639,13,urgent,4
5,82,86,34,469,962,200,normal,5
6,74,74,24,69,627,143,normal,6
7,87,99,36,138,707,212,normal,7
8,23,2,14,661,1217,85,normal,8
9,21,52,13,288,863,80,normal,9
10,1,87,11,192,723,68,normal,10
11,29,37,23,775,1258,137,normal,11
12,1,63,22,487,1067,131,normal,12
13,59,20,6,799,865,7,urgent,13
14,32,75,30,1245,1319,13,urgent,14
15,57,21,30,84,592,177,normal,15
16,88,48,11,221,713,68,normal,16
17,90,58,21,308,858,126,normal,17
18,41,91,12,644,1209,74,normal,18
19,59,79,34,606,1127,200,normal,19
20,14,61,7,1073,1162,7,urgent,20
21,61,46,41,49,534,240,normal,21
22,61,50,22,576,1163,131,normal,22
23,54,63,10,355,918,62,normal,23
24,2,100,15,297,382,9,urgent,24
25,50,6,32,455,1031,189,normal,25
26,20,72,15,342,942,91,normal,26
